"タイトル","初詣"
"ネオユニヴァース","トレーナー、地球が――入ったね。\n3周目に。"
"選択肢","ああ、なんとなく感じてた"
"","地球のグルグル具合が、ちょうど1年前と\n似ている……気がしないでもない。"
"","――正月。ネオユニヴァースはシニア級と\nなり、いよいよ試練の“GATE”へと向かう。"
"ネオユニヴァース","“スイングバイ”する前に――『初詣』を。"
"","何が待つかわからない1年。\nせめて神頼みしておくことにした。"
"","ネオユニグァースは新春祈願……というか\n神前へ、何か念のようなものを送っていた。"
"選択肢","何を願ったんだ？"
"ネオユニヴァース","“いなくならない”こと。\nそれが……起点だから。"
"ネオユニヴァース","なんとしても存在を維持。\n“GATE”後の歴史を\n“再現”させないために。"
"選択肢","“GATE”後の……歴史？"
"","気になる言葉だった。別宇宙では、\nネオユニヴァースが消失してしまった後……。"
"","何が起きたのだろうか？\n予備知識として知っておきたかった。"
"選択肢","消失後、どうなったんだ？"
"ネオユニヴァース","“GATE”の後、別宇宙では"
"ネオユニヴァース","ゼンノロブロイが“孤立”してしまう。"
"選択肢","孤立……？"
"ネオユニヴァース","そう。ネオユニヴァースが\nいなくなったことにより……。"
"ネオユニヴァース","ゼンノロブロイは一瞬、飛躍する。\n秋シニア三冠を獲得――"
"ネオユニヴァース","しかしそれは――“ABSS”のはじまり。"
"ネオユニヴァース","ちょうどゼンノロブロイが活躍した年……\nひとつ下の世代から“大王”が現れる。\nさらに――"
"ネオユニヴァース","次の年、それより数倍大きな“特異点”が。"
"ネオユニヴァース","根源を塗り替える2個体により――\n歴史は大転換点を迎える。"
"ネオユニヴァース","そう、別宇宙は、ネオユニヴァースが\nいないだけでなく……。"
"ネオユニヴァース","ゼンノロブロイが飲まれてしまう宇宙。"
"ネオユニヴァース","“居続け”なければいけなかったんだ……。\n干渉し、浮遊させ続けるためにも。"
"選択肢","ゼンノロブロイが……飲まれる……"
"","“大王”。そして“特異点”。\n一体どんな存在なのだろうか。\nそして――"
"","その2人の起こす大波によって\nゼンノロブロイはかなり劣勢に\n立たされるようだ。"
"ネオユニヴァース","ネオユニヴァースは……『不甲斐ない』。"
"ネオユニヴァース","ゼンノロブロイを『ひとり』にした……。\n“AGET”……。"
"","暗く沈んでしまう。新春なのに、\nムードは盛り下がる一方だった。ならば……。"
"選択肢","ユニヴァース、何か飲む？"
"ネオユニヴァース","飲む……『飲み物』……。"
"","ホッとひと息つかせてあげたかった。\n元気の出そうな飲み物といえば……。"
"#分岐開始"
"選択肢","やすらぎのコーヒー"
"ネオユニヴァース","『コーヒー』……。\nこの惑星を巡る黒い潮流……。"
"ネオユニヴァース","『飲む』ができるところは――"
"マンハッタンカフェ","いらっしゃい……ネオユニヴァースさん。\nそのコーヒーをどうぞ。"
"マンハッタンカフェ","アナタ用のブレンドです。"
"","入った店は、不思議ウマ娘\nマンハッタンカフェが手伝いをしている\n小さなお店だった。"
"ネオユニヴァース","この……香りは……。"
"ネオユニヴァース","ネオユニヴァースは『ほっこり』になるよ。\nごの「コーヒー』は……。"
"マンハッタンカフェ","最高に芳醇なスペシャルティです。\n空が……見えますか。"
"ネオユニヴァース","……アファーマティプ·\n『わたし』たちの“ソリッド”が……。"
"","とびっきりの1杯を振る舞われて、\nネオユニヴァースの気持ちは\n少し安らいだようだった。"