"タイトル","有馬記念にむけて"
"","秋シニア三冠、第3戦『有馬記念』。\n今年を締めくくる大レース。"
"","ネオユニヴァースを脅かす影は、\nもう何もない。ただ、あるのは……。"
"ヒシミラクル","行こうよ行こうよ、ユニヴァースちゃん！\nロブロイちゃん！"
"ネオユニヴァース","――アファーマティブ。\nネオユニヴァースは『トリを飾る』よ。"
"ゼンノロブロイ","最高のラストにしたいですよね……！\n今日は、あの方も盛り上げてくれるみたい\nですしっ。"
"","あるのは、ただ楽しさのみ。\nそして――"
"タップダンスシチー","ハハハッ、踊れ踊れ！波に合わせてな。\n今日は“カーニバル”だ！"
"タップダンスシチー","それそれの荒れ狂う“パッション”を\n見せてみな！まずはヒシミラクル！！"
"ヒシミラクル","よ～、は！　そいやっと！\nまあ、こんなところで！"
"ヒシミラクル","次はロブロイちゃん！"
"ゼンノロブロイ","こ、こうでしょうか……！？\n勇者は踊る……みたいな感じでっ。"
"ゼンノロブロイ","次、ユニさんっ！"
"ネオユニヴァース","…………。"
"ネオユニヴァース","トントン、ツーツー、\nトントン、ツーツー……。"
"タップダンスシチー","ハハハハッ、“ユニーク”！！\nいいじゃないか、それぞれのリズムがあって。"
"タップダンスシチー","さあ、ぶつけてこいよ、ネオユニヴァース！！\nその衝角をアタシにな！！"
"ネオユニヴァース","ぶつける……。"
"ネオユニヴァース","エア漏れのリスクは……“DENY”。\n――遠隔レーザー発射。"
"","パドック上は、\nパフォーマンスで大いに盛り上がり――"
"スイープトウショウ","いいな～！！アタシも出たかったのに。\nなによなによ、ずる～い！"
"選択肢","まあまあ、来年があるじゃないか"
"スイープトウショウ","来年があるのは当ったり前でしよ。"
"スイープトウショウ","アンタ、バカっ！？それともパパっ？"
"","パドック外でスイープトウショウの\n子守りをしつつ、ネオユニヴァースを見守る。"
"ネオユニヴァース","航路は――クリア。\nネオユニヴァースの“涙滴型の舟”には……。"
"ネオユニヴァース","たくさんの“同乗者”がいる、ね。\n誰もが大切……なんだ。"
"ネオユニヴァース","“波動”を感じる……。\nこの『温かい』を……届けたい……。"
"ネオユニヴァース","今年1番の『おもしろい』をするんだ。\n“パルス”を……全銀河に。"