"タイトル","ミッション、分析、そして（選択肢下）"
"","ある日の午後――何やら怪しげな動きを\nしているネオユニヴァースを見かけた。"
"選択肢","何してるんだ……？"
"ネオユニヴァース","！　……トレーナー……\nネオユニヴァースは、“静粛”を要求するよ。"
"ネオユニヴァース","ミッション、“フェーズB”。\n要件は“機密”と“観測”だよ。"
"","彼女の見つめる先には――\nオグリキャップの姿があった。こっそり\n観察している……ということだろうか。"
"選択肢","なんでまたそんなことを？"
"ネオユニヴァース","“受信”――ネオユニヴァースは、\nオグリキャップと『すこし·似ている」。\n“THRF”――まずは“観測”を。"
"","つまり……オグリキャップと自分が\n似ている――とどこからか“受信”したので\n調査したい、ということだろうか。"
"","相手を知るために、直接交流するのではなく\n観察しようと思うのは……\n彼女らしいというか、不器用というか。"
"選択肢","（……しばらく見守ろうかな）"
"オグリキャップ","――♪"
"ウマ娘A","わ～オグリ先輩、今日もすごい量だなぁ。\n気持ちいい食べっぷり！"
"ネオユニヴァース","“ハッブル”――ネオユニヴァースに\nあの量は……“アンコントローラブル”。"
"選択肢","確かに、食べる量は似てないなあ"
"オグリキャップ","いい天気だな……\n少し日向ぼっこしていこう。"
"","（ササササッ！）"
"オグリキャップ","うん、この木、いい感じだ。"
"ネオユニヴァース","……？『木登り』の意義、不明……。\n天候は『晴れ』、なのに宇宙と“交信”\nしない……それは、“損失”では……？"
"選択肢","オグリの過ごし方は、違うみたいだな"
"オグリキャップ","ふっ――！"
"ネオユニヴァース","芝に“クレーター”を“観測”。\n『踏み込み』の強度、確認……。"
"選択肢","確かに、力強い踏み込みは違うな"
"オグリキャップ","……む。またすり減ってしまったな……。\n交換しなくては。"
"ネオユニヴァース","“ASEM”……蹄鉄を摩耗する強度、行動――\nネオユニヴァースとの類似点は、“ボイド”。"
"ネオユニヴァース","これは“受信”ミス……？\nううん、でも……。"
"？？？","――キミたち。"
"オグリキャップ","もしかして、コースを使いたいのだろうか？\nすまない、気づかす占領してしまって……。"
"ネオユニヴァース","――！　“ビッグバン”……けれど、否定。\nこれは……“観測”中断……？"
"","予定外のことに彼女は混乱しているようだ。\nだがこれは……\nさらなる観察のチャンスかもしれない！"
"選択肢","よかったら、併走してもらえないか？"
"オグリキャップ","ああ！それならコースも半分こだな。\nキミがそれでいいなら、ぜひ頼む。"
"ネオユニヴァース","……“観測”が継続可能……？\nもしかしたら、“交信”も……。"
"ネオユニヴァース","……アファーマティブ。ネオユニヴァース、\nオグリキャップと『併走する』をしたい。"
"オグリキャップ","はああああっ！"
"","ネオユニヴァースは先行していたが、\n中盤で差されてしまった。\nやはり、オグリキャップは強い……！"
"ネオユニヴァース","――ふっ！！"
"選択肢","（！？いや、負けてない……！）"
"ネオユニヴァース","――っ！まだ……“縮退星”は\n先のはす、だから……“メイサ”はある――！"
"ネオユニヴァース","はぁあ――っ！！"
"オグリキャップ","！　すごいな……だが、ここからだ！"
"ネオユニヴァース","……っ、まだ、……まだ……！"
"","負けじと食らいつくネオユニヴァース。\nゴール前、ギリギリまで競り合って――"
"","結果は、オグリキャップの勝利。\nだが……ネオユニヴァースも、\n凄まじい気迫だった。そしてなにより――"
"選択肢","（競り合ってる2人は……）"
"ネオユニヴァース","“交信”――“フェーズC”。\n類似点は……――"
"選択肢","おかえり、2人ともすごく――"
"ネオユニヴァース","『走法』と『戦略』、共に“ボイド”。\nそれに……あの『想い』は『利他』。\nネオユニヴァースとは違う……。"
"","勝負根性が似ている、と言おうとして――\nためらわれた。"
"","彼女なりに必死に分析していることを、\n自分が先に指摘してしまうのは――無粋だ。\nここは、助言するだけに留めておこう。"
#分岐開始
"選択肢","“観測”、もうちょっと粘る？"
"ネオユニヴァース","フライバイ……“北極星”を『探す』を\nしたい。意味があるはず、だから……。"
"オグリキャップ","キミはまだ、このまま走るか？\n私はタイヤ引きを、と思っていたんだが……\nキミが走るなら、邪魔になるだろうか。"
"ネオユニヴァース","……！リビジョンは推奨しない。\n“観測”が停滞するから、“同行”を……。"
"選択肢","ええと……つまり、一緒にやってもいい？"
"オグリキャップ","ああ、もちろんだ。"
"","その後も“観測”のために、\n共にトレーニングを行い……\n2人の根性に、目を見張るばかりであった。"